-DO NOT REMOVE THIS LINE | TO CLEAR THE ERROR LOG, DELETE ALL LINES AFTER THIS TEXT-
09-09-2019 18:48 | GeneratePayrollController | SQLSTATE[42883]: Undefined function: 7 ERROR:  operator does not exist: date >= integer LINE 15:                       hr_dtr_sum_hdr.date_from >= 2019-07-26...                                                         ^ HINT:  No operator matches the given name and argument type(s). You might need to add explicit type casts. (SQL: SELECT                        hr_dtr_sum_hdr.empid,                        hr_dtr_sum_hdr.ppid,                        hr_dtr_sum_hdr.date_from,                        hr_dtr_sum_hdr.date_to,                        hr_dtr_sum_hdr.date_generated,                        hr_dtr_sum_hdr.code,                        hr_dtr_sum_hdr.time_generated,                        hr_dtr_sum_hdr.generatedby                     FROM                        hris.hr_dtr_sum_employees,                        hris.hr_dtr_sum_hdr                     WHERE                        hr_dtr_sum_hdr.code = hr_dtr_sum_employees.dtr_sum_id AND                       hr_dtr_sum_hdr.date_from >= 2019-07-26 AND                       hr_dtr_sum_hdr.date_to <= 2019-08-10                     ) (GPC00001)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:58 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:59 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 13:59 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:28 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:28 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
09-11-2019 14:31 | GenerateDTRController | Undefined offset: 2 (GDTRC00002)
09-11-2019 14:31 | GenerateDTRController | Undefined index: date_from (GDTRC00003)
